Name,wikipedia,Hex,Red,Green,Blue,Hue,Saturation,Light,Saturation(HSV),Value
Gainsboro,https://en.wikipedia.org/wiki/X11_color_names#Color_names_identical_between_X11_and_HTML.2FCSS,#DCDCDC,86%,86%,86%,0°,0%,86%,0%,86%
Gamboge,https://en.wikipedia.org/wiki/Gamboge,#E49B0F,89%,61%,6%,39°,88%,48%,93%,89%
Gamboge orange (brown),https://en.wikipedia.org/wiki/Gamboge,#996600,60%,40%,0%,40°,100%,30%,100%,60%
Gargoyle Gas,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#FFDF46,100%,87%,27%,50°,100%,64%,73%,100%
Generic viridian,https://en.wikipedia.org/wiki/Viridian#Generic_viridian,#007F66,0%,50%,40%,168°,100%,25%,100%,50%
Ghost white,https://en.wikipedia.org/wiki/Ghost_white,#F8F8FF,97%,97%,100%,240°,100%,99%,3%,100%
Giant's Club,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#B05C52,69%,36%,32%,6°,37%,51%,53%,69%
Giants orange,https://en.wikipedia.org/wiki/Shades_of_orange#Giants_orange,#FE5A1D,100%,35%,11%,16°,99%,55%,89%,100%
Ginger,,#B06500,69%,40%,0%,34°,100%,35%,100%,69%
Glaucous,https://en.wikipedia.org/wiki/Glaucous,#6082B6,38%,51%,71%,216°,37%,55%,47%,71%
Glitter,https://en.wikipedia.org/wiki/Glitter,#E6E8FA,90%,91%,98%,234°,67%,94%,8%,98%
Glossy Grape,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#AB92B3,67%,57%,70%,285°,18%,64%,18%,70%
GO green,https://en.wikipedia.org/wiki/Shades_of_green#GO_Transit_green,#00AB66,0%,67%,40%,156°,100%,34%,100%,67%
Gold (metallic),https://en.wikipedia.org/wiki/Gold_(color)#Gold_.28metallic_gold.29,#D4AF37,83%,69%,22%,46°,65%,52%,74%,83%
Gold (web) (Golden),https://en.wikipedia.org/wiki/Gold_(color),#FFD700,100%,84%,0%,51°,100%,50%,100%,100%
Gold Fusion,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX,#85754E,52%,46%,31%,43°,26%,41%,41%,52%
Golden brown,https://en.wikipedia.org/wiki/Gold_(color)#Golden_brown,#996515,60%,40%,8%,36°,76%,34%,86%,60%
Golden poppy,https://en.wikipedia.org/wiki/Gold_(color)#Golden_poppy,#FCC200,99%,76%,0%,46°,100%,49%,100%,99%
Golden yellow,https://en.wikipedia.org/wiki/Gold_(color)#Golden_yellow,#FFDF00,100%,87%,0%,52°,100%,50%,100%,100%
Goldenrod,https://en.wikipedia.org/wiki/Goldenrod_(color),#DAA520,85%,65%,13%,43°,74%,49%,85%,85%
Granite Gray,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#676767,40%,40%,40%,0°,0%,40%,0%,40%
Granny Smith Apple,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors,#A8E4A0,66%,89%,63%,113°,56%,76%,30%,89%
Grape,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#6F2DA8,44%,18%,66%,272°,58%,42%,73%,66%
Gray,https://en.wikipedia.org/wiki/Grey,#808080,50%,50%,50%,0°,0%,50%,0%,50%
Gray (HTML/CSS gray),https://en.wikipedia.org/wiki/Variations_of_gray#Gray,#808080,50%,50%,50%,0°,0%,50%,0%,50%
Gray (X11 gray),https://en.wikipedia.org/wiki/X11_color_names#Color_names,#BEBEBE,75%,75%,75%,0°,0%,75%,0%,75%
